date,open,high,low,close,volume,average,barCount
2025-10-08 04:00:00-04:00,256.0,256.0,255.75,256.0,1261.0,255.93,11
2025-10-08 04:05:00-04:00,256.0,256.0,256.0,256.0,1500.0,256.0,1
2025-10-08 04:10:00-04:00,256.0,256.0,256.0,256.0,0.0,256.0,0
2025-10-08 04:15:00-04:00,256.12,256.25,256.08,256.11,700.0,256.156,7
2025-10-08 04:20:00-04:00,256.11,256.11,256.11,256.11,0.0,256.11,0
2025-10-08 04:25:00-04:00,256.16,256.16,256.16,256.16,100.0,256.16,1
2025-10-08 04:30:00-04:00,256.17,256.26,256.17,256.26,955.0,256.187,5
2025-10-08 04:35:00-04:00,256.26,256.26,256.26,256.26,0.0,256.26,0
2025-10-08 04:40:00-04:00,256.26,256.26,256.26,256.26,0.0,256.26,0
2025-10-08 04:45:00-04:00,256.14,256.14,256.14,256.14,295.0,256.14,2
2025-10-08 04:50:00-04:00,256.0,256.03,256.0,256.0,1047.0,256.004,8
2025-10-08 04:55:00-04:00,255.95,255.95,255.83,255.83,499.0,255.859,3
2025-10-08 05:00:00-04:00,255.85,255.89,255.82,255.82,763.0,255.845,5
2025-10-08 05:05:00-04:00,255.71,255.86,255.61,255.86,300.0,255.727,3
2025-10-08 05:10:00-04:00,255.76,255.77,255.61,255.61,796.0,255.705,6
2025-10-08 05:15:00-04:00,255.64,255.69,255.64,255.68,399.0,255.663,3
2025-10-08 05:20:00-04:00,255.77,255.77,255.77,255.77,100.0,255.77,1
2025-10-08 05:25:00-04:00,255.66,255.91,255.66,255.91,951.0,255.742,6
2025-10-08 05:30:00-04:00,255.78,255.78,255.78,255.78,100.0,255.78,1
2025-10-08 05:35:00-04:00,255.78,255.78,255.78,255.78,0.0,255.78,0
2025-10-08 05:40:00-04:00,255.78,255.78,255.78,255.78,0.0,255.78,0
2025-10-08 05:45:00-04:00,255.69,255.69,255.6,255.6,350.0,255.626,3
2025-10-08 05:50:00-04:00,255.63,255.63,255.6,255.6,400.0,255.613,4
2025-10-08 05:55:00-04:00,255.6,255.6,255.6,255.6,0.0,255.6,0
2025-10-08 06:00:00-04:00,255.59,255.71,255.59,255.71,683.0,255.635,3
2025-10-08 06:05:00-04:00,255.65,255.65,255.65,255.65,150.0,255.65,1
2025-10-08 06:10:00-04:00,255.61,255.61,255.5,255.54,1940.0,255.582,7
2025-10-08 06:15:00-04:00,255.66,255.66,255.66,255.66,100.0,255.66,1
2025-10-08 06:20:00-04:00,255.85,255.9,255.83,255.9,563.0,255.866,4
2025-10-08 06:25:00-04:00,255.88,255.93,255.88,255.91,1144.0,255.9,7
2025-10-08 06:30:00-04:00,255.93,255.94,255.91,255.91,420.0,255.93,4
2025-10-08 06:35:00-04:00,255.92,255.92,255.92,255.92,100.0,255.92,1
2025-10-08 06:40:00-04:00,255.92,255.92,255.92,255.92,0.0,255.92,0
2025-10-08 06:45:00-04:00,255.84,255.84,255.76,255.76,875.0,255.808,7
2025-10-08 06:50:00-04:00,255.81,255.81,255.81,255.81,194.0,255.81,1
2025-10-08 06:55:00-04:00,255.81,255.81,255.81,255.81,0.0,255.81,0
2025-10-08 07:00:00-04:00,255.92,256.0,255.92,256.0,1011.0,255.985,5
2025-10-08 07:05:00-04:00,256.0,256.0,256.0,256.0,0.0,256.0,0
2025-10-08 07:10:00-04:00,256.0,256.0,256.0,256.0,100.0,256.0,1
2025-10-08 07:15:00-04:00,256.0,256.0,256.0,256.0,944.0,256.0,2
2025-10-08 07:20:00-04:00,255.92,256.0,255.9,255.9,1703.0,255.93,5
2025-10-08 07:25:00-04:00,255.95,255.95,255.9,255.9,1368.0,255.906,6
